time,x,y,z,yaw,platform,controller,traj_time,lookahead_time,trajectory,comp_time,traj_double,traj_spin,vx,vy,vz,x_ref,y_ref,z_ref,yaw_ref,vx_ref,vy_ref,vz_ref,p,q,r,throttle_input,p_input,q_input,r_input,cbf_v_p,cbf_v_q,cbf_v_r,cbf_v_throttle
0.12219381332397461,-0.082087,-0.24201377,-0.84074974,0.008433550475593755,sim,nr,0.10536813735961914,1.2,hover,0.0009012222290039062,DblSpd,NoSpin,-0.031327866,0.07863074,0.023596138,0.0,0.0,-0.9,0.0,0.0,0.0,0.0,-0.008119346,-0.008367269,0.005232076,0.7574315946234385,-0.4399165006225255,-0.4925266533834964,0.2909703800148037,0.0,0.0,0.0,0.0
0.1691608428955078,-0.097675174,-0.22770034,-0.8459038,0.010720188006289154,nan,nan,0.15228056907653809,1.2,nan,0.0009074211120605469,nan,nan,-0.028511215,0.08603842,0.015893823,0.0,0.0,-0.9,0.0,0.0,0.0,0.0,-0.0484883,-0.09607565,0.0055828984,0.7487738894668797,-0.303993701407636,-0.35481322643861446,0.2444828483186542,0.0,0.0,0.0,0.0
0.24904870986938477,-0.10885705,-0.2238384,-0.8492321,0.014321872805310595,nan,nan,0.23563337326049805,1.2,nan,0.0005490779876708984,nan,nan,-0.01610269,0.08319945,-0.037452236,0.0,0.0,-0.9,0.0,0.0,0.0,0.0,-0.2673181,-0.33397004,0.058806207,0.7318724529818175,0.024859723909182955,0.038278476421276644,0.00952921502909323,0.0,0.0,0.0,0.0
0.3459649085998535,-0.11878875,-0.21986711,-0.8564351,0.020774311393927665,nan,nan,0.3292515277862549,1.2,nan,0.0004172325134277344,nan,nan,0.020889333,0.061335795,-0.05640039,0.0,0.0,-0.9,0.0,0.0,0.0,0.0,-0.03320829,0.034415282,0.0544618,0.7281411007217361,0.09362142776811505,0.12111269722487297,-0.020805038952577168,0.0,0.0,0.0,0.0
0.449810266494751,-0.12273514,-0.217679,-0.86551946,0.025980156236866853,nan,nan,0.43216443061828613,1.2,nan,0.0008261203765869141,nan,nan,0.057797812,0.034494046,-0.05570156,0.0,0.0,-0.9,0.0,0.0,0.0,0.0,0.07980467,0.12906484,0.034431208,0.7272028263579444,0.10528540681738097,0.11968638186057325,-0.02704142086612703,0.0,0.0,0.0,0.0
0.5605337619781494,-0.11663148,-0.22309187,-0.87684333,0.027636600945036664,nan,nan,0.5415182113647461,1.2,nan,0.0009379386901855469,nan,nan,0.08544091,0.011521435,-0.051385213,0.0,0.0,-0.9,0.0,0.0,0.0,0.0,0.104912646,0.12489839,0.016878776,0.7267521224813419,0.09599717666148767,0.10027703939282395,-0.02848898161238044,0.0,0.0,0.0,0.0
0.6609094142913818,-0.1058963,-0.22841771,-0.8860934,0.02662461503216826,nan,nan,0.6407883167266846,1.2,nan,0.0012192726135253906,nan,nan,0.096554875,0.0011469508,-0.047828436,0.0,0.0,-0.9,0.0,0.0,0.0,0.0,0.100926615,0.10848555,0.005960902,0.726394014216881,0.08108150776147466,0.0815470978212964,-0.027564423906359024,0.0,0.0,0.0,0.0
0.7505621910095215,-0.09077247,-0.23275368,-0.90040416,0.024610680174907185,nan,nan,0.7308356761932373,1.2,nan,0.0006201267242431641,nan,nan,0.10083956,-0.0007921306,-0.043906227,0.0,0.0,-0.9,0.0,0.0,0.0,0.0,0.08605055,0.08723869,-0.0020712647,0.7259879429677352,0.06335368414539455,0.0649087582353175,-0.025286786817430525,0.0,0.0,0.0,0.0
0.8553335666656494,-0.07567525,-0.23619771,-0.9183484,0.022844863269455708,nan,nan,0.8386678695678711,1.2,nan,0.0005695819854736328,nan,nan,0.09764198,0.0050471607,-0.039767183,0.0,0.0,-0.9,0.0,0.0,0.0,0.0,0.06721112,0.06804572,-0.008090818,0.7251338236306255,0.03849280810869464,0.04659456460234201,-0.022219557809635835,0.0,0.0,0.0,0.0
0.9513454437255859,-0.06272191,-0.23900689,-0.93917775,0.020776154593810638,nan,nan,0.9337770938873291,1.2,nan,0.0008089542388916016,nan,nan,0.08804623,0.016194642,-0.03449754,0.0,0.0,-0.9,0.0,0.0,0.0,0.0,0.043468654,0.04792182,-0.011832986,0.7242797408861612,0.021998968082735108,0.03422116665927298,-0.01992296323859268,0.0,0.0,0.0,0.0
1.051159381866455,-0.050146814,-0.23899071,-0.9561539,0.01890392921251878,nan,nan,1.0324382781982422,1.2,nan,0.0006508827209472656,nan,nan,0.07182496,0.03433608,-0.025772883,0.0,0.0,-0.9,0.0,0.0,0.0,0.0,0.023215445,0.033728626,-0.01376459,0.7236199840359736,0.0042874682904411295,0.02097676473096346,-0.01756435348895244,0.0,0.0,0.0,0.0
1.1507368087768555,-0.040081326,-0.23616154,-0.9686925,0.0175911098122272,nan,nan,1.1328847408294678,1.2,nan,0.0007834434509277344,nan,nan,0.053636074,0.053534806,-0.015729763,0.0,0.0,-0.9,0.0,0.0,0.0,0.0,0.00524078,0.018866558,-0.014481888,0.7233777398966608,-0.010631129797466625,0.00940867781458202,-0.015799893212154456,0.0,0.0,0.0,0.0
1.2449183464050293,-0.028478848,-0.22950186,-0.97940695,0.016513787155534504,nan,nan,1.2302882671356201,1.2,nan,0.0007109642028808594,nan,nan,0.033289153,0.07498963,-0.0040910435,0.0,0.0,-0.9,0.0,0.0,0.0,0.0,-0.013504074,0.0062065846,-0.0145893525,0.7234123138526464,-0.022355858211395494,0.0007580939553286803,-0.014646087103250235,0.0,0.0,0.0,0.0
