time,x,y,z,yaw,platform,controller,traj_time,lookahead_time,trajectory,comp_time,traj_double,traj_spin,vx,vy,vz,x_ref,y_ref,z_ref,yaw_ref,vx_ref,vy_ref,vz_ref,p,q,r,throttle_input,p_input,q_input,r_input,cbf_v_p,cbf_v_q,cbf_v_r,cbf_v_throttle
0.12510061264038086,-0.014342223,0.008684294,-0.59929544,-0.0025799192788120134,sim,nr,0.10854578018188477,1.2,circle_vert,0.0007069110870361328,DblSpd,NoSpin,0.0057408116,0.03714005,-0.22212362,0.1054025429387894,0.0,-5.333751859833075,0.0,-0.3226191972226213,0.0,-0.10188672448190261,-0.01753691,-0.013388267,0.0011127618,0.8316520329159365,-0.33474287037721695,-0.26610917567156694,0.5358026926901556,0.0,0.0,0.0,-3.1325238610196218
0.21044230461120605,-0.024804654,0.020020202,-0.60702634,-0.0010504052088644968,nan,nan,0.19583392143249512,1.2,nan,0.0005872249603271484,nan,nan,-0.0034578824,0.0412247,-0.24189465,0.07690013671239435,0.0,-5.341447461512917,0.0,-0.3300581035925736,0.0,-0.07433504755560272,-0.03728803,-0.033174023,0.023802094,0.8596748677770163,-0.015956309626176304,-0.015538624405505753,0.1442845775484435,0.0,0.0,0.0,-5.226161222439977
0.3055541515350342,-0.028988702,0.026430508,-0.61489403,0.0015794507346676995,nan,nan,0.29033517837524414,1.2,nan,0.0005781650543212891,nan,nan,-0.0021664596,0.038467366,-0.29933712,0.04543196314338893,0.0,-5.34703881155418,0.0,-0.3354629479658907,0.0,-0.043916529738287045,-0.007367364,0.004473024,0.028907241,0.8754507148321642,0.028904854292700295,0.044762362529715265,0.00762117461189923,0.0,0.0,0.0,-5.066669834482384
0.4175741672515869,-0.0291143,0.034015153,-0.6324408,0.003987663713132212,nan,nan,0.40079283714294434,1.2,nan,0.0007860660552978516,nan,nan,0.0013245428,0.033938203,-0.4032111,0.008189149782631298,0.0,-5.349904183778699,0.0,-0.338232742529075,0.0,-0.00791599162961875,0.013030303,0.026964633,0.018308442,0.8782598021723623,0.028468437515729802,0.05165254479825229,-0.002811516983360993,0.0,0.0,0.0,-4.670906549170932
0.5037143230438232,-0.033165082,0.038244925,-0.6569749,0.0052086385076916784,nan,nan,0.4900054931640625,1.2,nan,0.0004329681396484375,nan,nan,0.00020510152,0.029096713,-0.49554375,-0.021978536644394257,0.0,-5.349309238250251,0.0,-0.33765764206708826,0.0,0.02124541823344094,0.012147622,0.023353053,0.008586129,0.8785405277753618,0.025661048630965654,0.05195282997032733,-0.004188013134750407,0.0,0.0,0.0,-4.283244280898161
0.6031839847564697,-0.0356416,0.03721912,-0.69777006,0.00571412937927481,nan,nan,0.5904192924499512,1.2,nan,0.0005338191986083984,nan,nan,-9.079998e-05,0.020197866,-0.7842722,-0.055727354280369554,0.0,-5.345535037275397,0.0,-0.33400933374223485,0.0,0.05386850671113991,0.020681297,0.050194666,0.0018786859,0.8785910343795151,0.023768860852481144,0.050711133501663584,-0.0048126010381584535,0.0,0.0,0.0,-3.1719436071521443
0.7164404392242432,-0.03502804,0.03305194,-0.77131414,0.00558898234064777,nan,nan,0.699843168258667,1.2,nan,0.0007495880126953125,nan,nan,-0.0041159396,0.012707461,-1.1221457,-0.09189638486594223,0.0,-5.337720379083896,0.0,-0.32645534212231647,0.0,0.08883107925732442,0.02272161,0.051528566,-0.00264447,0.8785965877789973,0.020873325071996116,0.04529166676278964,-0.0048311194069275976,0.0,0.0,0.0,-1.785680553756585
0.8138115406036377,-0.03343974,0.026341284,-0.9001495,0.005054734716394253,nan,nan,0.7954995632171631,1.2,nan,0.0005347728729248047,nan,nan,-0.016221678,0.0064719045,-1.5172555,-0.12268687366854009,0.0,-5.327792512161946,0.0,-0.3168586301876041,0.0,0.1185945172335337,0.022199167,0.044808477,-0.005914856,0.8785970220846973,0.018735419818537657,0.0404678491420655,-0.004551501293910956,0.0,0.0,0.0,-0.035807294575350375
0.9189882278442383,-0.033357203,0.021532081,-1.0321841,0.004449880675844568,nan,nan,0.9005768299102783,1.2,nan,0.0009531974792480469,nan,nan,-0.03119197,0.004415484,-1.8270125,-0.1552919601017384,0.0,-5.313662887711887,0.0,-0.3032003149967463,0.0,0.15011202492836326,0.019439237,0.039495315,-0.0076959007,0.8631174877821731,0.01566928830840353,0.03429524752083376,-0.003983518754724477,0.0,0.0,0.0,0.0
1.0169286727905273,-0.031878896,0.02188991,-1.1872077,0.0038072772787823214,nan,nan,0.9993066787719727,1.2,nan,0.0008308887481689453,nan,nan,-0.048918977,0.0077763223,-2.1145792,-0.1844747858507999,0.0,-5.297437478111454,0.0,-0.28751612188837466,0.0,0.17832142523120714,0.016562298,0.03474544,-0.008551028,0.8423469706053581,0.010874122103433604,0.03084949124936245,-0.0034410652822525925,0.0,0.0,0.0,0.0
1.1104886531829834,-0.036594406,0.024406992,-1.3837365,0.0030927545886905395,nan,nan,1.0928997993469238,1.2,nan,0.0006873607635498047,nan,nan,-0.07375149,0.013650253,-2.3794782,-0.21059317059889487,0.0,-5.279554138758676,0.0,-0.2702293011091927,0.0,0.20356860235374463,0.011893316,0.030392347,-0.009170072,0.8176561732956428,0.0042775676301799155,0.02490607486765598,-0.002816355547493119,0.0,0.0,0.0,0.0
